Number of trials: 100000
Hatches        Frequency      Probability
3              657            0.00657
4              1884           0.01884
5              3519           0.03519
6              5425           0.05425
7              7074           0.07074
8              8878           0.08878
9              9980           0.0998
10             10895          0.10895
11             10766          0.10766
12             9995           0.09995
13             8732           0.08732
14             7318           0.07318
15             5553           0.05553
16             3943           0.03943
17             2527           0.02527
18             1465           0.01465
19             825            0.00825
20             341            0.00341
21             159            0.00159
22             48             0.00048
23             14             0.00014
24             1              1e-05
25             1              1e-05
Average: 10.762710
